Day;Hour;Secular_Holiday;Religious_holiday;Sports;TV_Media;Weather_transport;AirTempMLM;AirTempSTHLM;precipitationMLM;precipitationSTHLM;RainMLM2;RainSTHLM2;D_precipitationMLM;D_precipitationSTHLM;D_AirTempMLM;D_AirTempSTHLM;D_precipitationMLM2;D_precipitationSTHLM2;D_AirTempMLM2;D_AirTempSTHLM2;MY;StandSize;AirTempMLM2;AirTempSTHLM2
1;0;0;0;0;0;0;15.9;10.7;.7;0;.4899999999999999;0;.7;0;-.9999999999999982;0;.4899999999999999;0;.9999999999999965;0;201605;-1.7836492;252.81;114.49
2;0;0;0;0;0;0;18.4;12.2;0;0;0;0;0;0;0;.3999999999999986;0;0;0;.1599999999999989;201605;-1.5432106;338.56;148.84
3;0;0;0;0;0;0;18.4;13.6;0;0;0;0;0;0;-.6000000000000014;.4000000000000004;0;0;.3600000000000017;.1600000000000003;201606;-1.549567;338.56;184.96001
4;0;0;0;0;0;0;17.1;13.2;0;0;0;0;0;0;.2000000000000028;.2999999999999989;0;0;.0400000000000011;.0899999999999994;201606;-1.5335702;292.41;174.24001
5;0;0;0;0;0;0;15.5;13.5;0;0;0;0;0;0;-.5;-.8000000000000007;0;0;.25;.6400000000000011;201606;-1.5070523;240.25;182.25
6;0;0;0;0;0;0;14.2;13.2;0;0;0;0;0;0;-.9000000000000004;-.9000000000000004;0;0;.8100000000000006;.8100000000000006;201606;-1.3620368;201.64;174.24001
7;0;0;0;0;0;0;13.8;7.8;0;0;0;0;0;0;-.2999999999999989;-.1000000000000005;0;0;.0899999999999994;.0100000000000001;201606;-1.2965109;190.44;60.84
1;0;1;0;0;0;0;12.2;7.4;0;0;0;0;0;0;.8999999999999986;-.6999999999999993;0;0;.8099999999999974;.489999999999999;201606;-1.4915344;148.84;54.759998
2;0;0;0;0;0;0;7.1;11.5;0;0;0;0;0;0;-.7000000000000002;.3000000000000007;0;0;.4900000000000003;.0900000000000004;201606;-1.5481038;50.41;132.25
3;0;0;0;0;0;0;12.5;16.5;0;0;0;0;0;0;-2.199999999999999;.1999999999999993;0;0;4.839999999999997;.0399999999999997;201606;-1.5341029;156.25;272.25
4;0;0;0;0;0;0;9.5;9.4;0;0;0;0;0;0;-2.199999999999999;.7000000000000011;0;0;4.839999999999997;.4900000000000015;201606;-1.5449392;90.25;88.360001
5;0;0;0;0;0;0;12.8;9.699999999999999;0;0;0;0;0;0;-1.5;-.1000000000000014;0;0;2.25;.0100000000000003;201606;-1.6604251;163.84;94.089996
6;0;0;0;0;0;0;9.6;6.4;0;0;0;0;0;0;-.5999999999999996;.2000000000000002;0;0;.3599999999999996;.0400000000000001;201606;-1.352097;92.160004;40.959999
7;0;0;0;0;0;0;5.3;6.9;0;0;0;0;0;0;-.6000000000000005;-.3999999999999995;0;0;.3600000000000007;.1599999999999996;201606;-1.3245072;28.09;47.610001
1;0;0;0;0;0;0;9.6;8.800000000000001;0;0;0;0;0;0;-.7000000000000011;-.3999999999999986;0;0;.4900000000000015;.1599999999999989;201606;-1.5348687;92.160004;77.440002
2;0;0;0;0;0;0;12.7;10.7;0;0;0;0;0;0;-.3000000000000007;-1;0;0;.0900000000000004;1;201606;-1.5191649;161.28999;114.49
